date,time,lat,lng,subject_age,subject_race,subject_sex,violation
2019-06-01,11:07:00,29.489767800000006,-98.7075138,50.0,white,male,SOLICITING FROM OCCUPANTS OF VEHICLES
2019-06-04,01:00:00,29.41990909999999,-98.6511315,42.0,white,male,THEFT UNDER $100.00
2019-06-03,18:00:00,29.4426999,-98.642356,42.0,white,female,THEFT UNDER $100.00
2019-06-05,14:00:00,29.425368,-98.493542,57.0,white,male,PUBLIC INTOXICATION
2019-06-05,14:00:00,29.425368,-98.493542,57.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-05,18:35:00,29.4363847,-98.4968229,34.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-03,16:36:00,29.3979463,-98.4734824,44.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-03,04:45:00,29.4667896,-98.5167543,23.0,white,female,POSSESSING DRUG PARAPHERNALIA
2019-06-03,04:40:00,29.4667896,-98.5167543,38.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-02,16:15:00,29.56499100000008,-98.35461899999996,28.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-04,03:40:00,29.4361834,-98.4476213,26.0,white,female,PUBLIC INTOXICATION
2019-06-03,17:00:00,29.488851631000045,-98.44433819999996,36.0,white,female,PUBLIC INTOXICATION
2019-06-03,23:39:00,29.4255328,-98.492007,38.0,white,male,PUBLIC INTOXICATION
2019-06-04,03:00:00,29.4304756,-98.4930638,35.0,white,male,PUBLIC INTOXICATION
2019-06-05,14:51:00,29.4247728,-98.4275013,45.0,hispanic,male,SOLICITING FROM OCCUPANTS OF VEHICLES
2019-06-05,04:00:00,29.51580600000005,-98.66457899999996,25.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-03,15:00:00,29.355692,-98.4802273,41.0,white,male,PUBLIC INTOXICATION
2019-06-03,14:35:00,29.4104168,-98.578843,36.0,white,female,PUBLIC INTOXICATION
2019-06-03,14:47:00,29.3240807,-98.6006719,70.0,black,male,PUBLIC INTOXICATION
2019-06-03,02:12:00,29.4742639,-98.3602088,22.0,white,male,PUBLIC INTOXICATION
2019-06-04,14:16:00,29.4804914,-98.5376391,37.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-03,01:37:00,29.42483630000001,-98.5011962,54.0,white,male,PUBLIC INTOXICATION
2019-06-04,00:00:00,29.4509061,-98.4861115,44.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-03,00:00:00,29.4251309,-98.4956915,51.0,hispanic,male,PUBLIC INTOXICATION
2019-06-02,00:27:00,29.42217000000005,-98.51042699999994,24.0,white,male,PUBLIC INTOXICATION
2019-06-02,05:08:00,29.423583000000068,-98.47403099999995,56.0,white,female,PUBLIC INTOXICATION
2019-06-02,01:50:00,29.41420552300008,-98.55988869199994,31.0,white,male,PUBLIC INTOXICATION
2019-06-01,15:48:00,29.4265076,-98.4885354,39.0,white,male,PUBLIC INTOXICATION
2019-06-02,21:30:00,29.4310032,-98.4838607,38.0,white,male,PUBLIC INTOXICATION
2019-06-02,19:20:00,29.43851400000005,-98.57263949999998,54.0,hispanic,male,PUBLIC INTOXICATION
2019-06-02,22:10:00,29.42145900000003,-98.5833765,36.0,white,female,PUBLIC INTOXICATION
2019-06-01,04:59:00,29.357403,-98.5346225,20.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-01,17:00:00,29.4879817,-98.5375995,43.0,white,male,THEFT UNDER $100.00
2019-06-04,22:05:00,29.582888800000006,-98.3659564,36.0,white,female,PUBLIC INTOXICATION
2019-06-02,00:00:00,29.5254495,-98.6763312,18.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-04,16:33:00,29.374985,-98.4990821,37.0,white,male,PUBLIC INTOXICATION
2019-06-05,10:30:00,29.404161000000048,-98.62349849999998,45.0,hispanic,male,PUBLIC INTOXICATION
2019-06-05,02:02:00,29.33566504800007,-98.56794134499997,20.0,white,male,POSSESSING DRUG PARAPHERNALIA
2019-06-05,16:42:00,29.5490247,-98.5737163,39.0,hispanic,male,PUBLIC INTOXICATION
2019-06-05,17:20:00,29.35620000000005,-98.45117999999997,35.0,white,male,PUBLIC INTOXICATION
2019-06-01,15:10:00,29.3791843,-98.4608047,30.0,white,female,POSSESSING DRUG PARAPHERNALIA
2019-06-02,23:00:00,29.552737800000006,-98.5799594,52.0,white,male,PUBLIC INTOXICATION
2019-06-01,18:30:00,29.40340500000008,-98.63269199999996,36.0,white,female,PUBLIC INTOXICATION
2019-06-05,16:57:00,29.590203750000057,-98.60768596799994,35.0,white,male,SOLICITING FROM OCCUPANTS OF VEHICLES
2019-06-01,21:15:00,29.42071891100005,-98.55211999999996,27.0,white,male,PUBLIC INTOXICATION
2019-06-01,16:00:00,29.464371000000032,-98.52520049999998,63.0,white,male,PUBLIC INTOXICATION
